sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
10010,10.104,0.0994,0.001,19.233088967989023,0.0056595690138298,-0.1606422755094954,0.1981118569783486,-0.0739904611192626,0.1778274282333859,-0.0002561967346076,0.0001342841309213,0.0318292797430399,1.0
20090,11.32,0.4098,0.001,22.39297026932217,0.0685962156344659,-0.9572975019045312,3.061525266813645,-1.4679616123676005,3.4256093512708534,-0.1089646890933282,-0.0082438373378883,8.37520762489191,1.0
30006,9.524,0.5025,0.001,22.55389876009009,0.1029108298050484,-2.243884626833389,4.988436035647533,-0.1300863687656616,3.4237175866966183,0.2298512220126088,0.1004575876840858,15.609746445226554,0.0
40150,8.413,0.3815,0.001,22.35605611003554,0.0348041347564655,-1.4981089247879242,1.9422226101908069,-2.900143888456565,3.107452600233576,0.0069761702496578,0.0305001883605477,5.301836483720029,0.0
40201,9.2773,0.2797,0.001,21.18847443701118,0.0491569454909386,-1.1585913099986602,1.1265967904018517,-1.3604881284983597,1.0872756220293227,0.016317051137219,0.0308456972347709,1.0922924035225727,0.0
40780,10.963,0.2307,0.001,21.66517596968289,0.0515104520354991,-0.0755537303584672,1.3521880545435156,2.954589683346284,1.4366642641326242,-0.0174705875521363,0.0426512892177596,1.1348456871081405,1.0
50291,11.169,0.3253,0.001,22.02819774001168,0.0426414981796983,-0.1580159908751744,1.5789519658417994,-0.4432845616564754,1.7146858698740286,-0.0006593799703061,0.0313392566149658,2.079004539707456,1.0
50296,10.905,0.3509,0.001,21.864724892318545,0.0362115753254932,0.8970662339503708,1.971148687651581,0.1013838400838841,2.593253207109937,0.0163183769983144,0.0447910313727627,4.758940759158595,1.0
80646,10.768,0.3185,0.001,21.993653427556723,0.0275719437016815,0.1739217115554791,1.182049400772412,1.9216986744598683,1.2172727358064146,0.0030056164417763,0.0144494466905154,1.1535444746754469,1.0
90037,10.109,0.1453,0.001,20.929089225564766,0.1631865223372441,0.1326786876899409,2.4936852535417984,2.37240114082018,1.131289723540036,-0.1686621412880329,0.0625090443937742,1.8419693187989263,1.0
90275,11.102,0.1396,0.001,20.111053791070617,0.010357930290237,-2.3626136358598284,0.2435013443229024,0.2421420274443108,0.1990230377504815,0.0007152908589953,0.0011349490317884,0.0344035876604055,1.0
100206,11.566,0.2166,0.001,20.45105933460649,0.0286179872059554,0.3304736911241814,0.5205742656137152,-1.4028378741008083,0.6268468840029428,-0.0011635225932151,0.0103619585916673,0.216584830606353,1.0
110425,9.563,0.3806,0.001,22.349015343434505,0.0310081475556186,-0.0433529641919165,1.5682424497182372,0.0867895091987633,1.824983855091432,-0.0181760974948352,-0.0028270803392115,2.457206476357218,0.0
110430,9.14,0.4206,0.001,22.78853117770357,0.0601776663899795,-2.0750851542704,3.631278622925759,1.7913766889176583,2.634889323166824,-0.1682832313469809,-0.0749957584026553,8.20936667757275,0.0
110460,9.5517,0.1996,0.001,20.861670019630733,0.0405975936202463,-0.0818080451239673,1.2091179127942413,0.4878602094748964,1.0369646346687045,-0.0206461152819183,0.0154983858493527,0.7126857720629804,0.0
110716,6.0,0.3156,0.001,22.387290631602205,0.0749938502989717,-3.2300583610337825,3.2699984094652064,-1.1133609912369056,2.904856655459876,-0.0590378448997367,0.05861803380074,7.808020425905834,0.0
120044,8.7828,0.4812,0.001,22.76320392806743,0.0394175788042021,2.1093017140604906,3.5266920294547965,0.2916049452742443,2.490129998220969,0.0613656388192496,0.0522395577219787,8.195133981013205,0.0
